date current wind salinity temperature
2011-05-12 0.34866536 6.3768225 35.35457 24.177338
2011-05-13 0.41957843 5.489563 35.35696 24.08469
2011-05-14 0.46708694 5.5253983 35.35851 24.04647
2011-05-15 0.5031105 9.884189 35.363113 23.925133
2011-05-16 0.53337634 10.406533 35.37002 23.838863
2011-05-17 0.5326617 9.690727 35.378166 23.78382
2011-05-18 0.51221293 9.989813 35.383957 23.688639
2011-05-19 0.47736087 9.713331 35.38851 23.61521
2011-05-20 0.4338008 9.180972 35.395527 23.556435
2011-05-21 0.36741492 7.755068 35.400455 23.518019
2011-05-22 0.30646512 6.056793 35.4043 23.497871
2011-05-23 0.2688066 4.9222555 35.401882 23.46514
2011-05-24 0.28113863 6.793099 35.3837 23.3682
2011-05-25 0.27195236 7.455065 35.39593 23.241562
2011-05-26 0.28753403 7.6239915 35.401035 23.13544
2011-05-27 0.3204986 5.911446 35.404987 23.095024
2011-05-28 0.33424214 6.458512 35.415096 23.103056
2011-05-29 0.35933378 4.9015245 35.419735 23.102554
2011-05-30 0.38232622 3.768374 35.422253 23.108976
2011-05-31 0.40127224 5.2553225 35.428154 23.075537
2011-06-01 0.41203597 4.57037 35.4323 23.037512
2011-06-02 0.41515264 5.291075 35.436146 23.008799
2011-06-03 0.41076028 4.8915434 35.441177 22.985619
2011-06-04 0.4034448 3.5301476 35.446014 22.966747
2011-06-05 0.38799876 1.77787 35.445606 22.964024
2011-06-06 0.36731157 2.0411587 35.443905 22.957489
2011-06-07 0.3388746 1.900924 35.44126 22.959988
2011-06-08 0.31572136 3.0646024 35.43834 22.961578
2011-06-09 0.33699647 8.513123 35.438625 22.907148
2011-06-10 0.3527545 7.580764 35.44316 22.818708
2011-06-11 0.42657325 12.061678 35.415154 22.723698
2011-06-12 0.45108244 7.8057885 35.39456 22.661703
2011-06-13 0.46901706 4.826588 35.398476 22.636887
2011-06-14 0.47380662 4.0866947 35.3986 22.615826
2011-06-15 0.48924863 4.1004567 35.401302 22.585894
2011-06-16 0.48722023 4.2592015 35.40345 22.555655
2011-06-17 0.47242257 6.047066 35.40592 22.507847
2011-06-18 0.4436905 8.550711 35.41226 22.403456
2011-06-19 0.40641406 5.957035 35.4209 22.331446
2011-06-20 0.34883812 3.316833 35.422768 22.330187
2011-06-21 0.29870868 2.3160422 35.41993 22.348015
2011-06-22 0.25391725 5.9948153 35.420567 22.316643
2011-06-23 0.26691592 8.361636 35.432354 22.231077
2011-06-24 0.2811012 8.580036 35.441486 22.159533
2011-06-25 0.29770502 10.082875 35.458008 22.055088
2011-06-26 0.32162875 10.590959 35.47711 21.980356
2011-06-27 0.31996232 9.539771 35.483944 21.912111
2011-06-28 0.38697034 11.959596 35.491776 21.828836
2011-06-29 0.42591113 11.729254 35.50398 21.767515
2011-06-30 0.53175664 13.275885 35.516376 21.712124
2011-07-01 0.51927274 10.960959 35.5266 21.700603
2011-07-02 0.49088493 9.450612 35.534824 21.730757
2011-07-03 0.4637414 6.192493 35.541946 21.721764
2011-07-04 0.44771183 2.952067 35.546307 21.676317
2011-07-05 0.4280407 3.0893767 35.5501 21.640953
2011-07-06 0.39524963 3.5006237 35.553616 21.637117
2011-07-07 0.34974778 2.5647776 35.554764 21.647629
2011-07-08 0.3239605 7.305215 35.55917 21.594812
2011-07-09 0.32051504 4.276929 35.563763 21.531073
2011-07-10 0.34870788 5.5080857 35.571007 21.43045
2011-07-11 0.3864123 7.2684894 35.577526 21.384462
2011-07-12 0.41839412 7.511325 35.58285 21.35475
2011-07-13 0.4438426 5.4144835 35.585953 21.328844
2011-07-14 0.4627769 6.2665963 35.586544 21.284096
2011-07-15 0.48001865 11.239697 35.590496 21.221287
2011-07-16 0.48396924 9.002685 35.57174 21.192326
2011-07-17 0.45282283 7.556526 35.581345 21.177689
2011-07-18 0.42517707 5.284581 35.58542 21.18271
2011-07-19 0.38484326 4.7524967 35.5874 21.19734
2011-07-20 0.33786586 7.7792587 35.589005 21.170042
